heart_rate,motion
175,21.5316
174,21.5316
170,21.4992
168,21.4992
155,21.4992
178,21.4308
173,21.4308
170,21.4308
168,21.3984
164,21.3624
176,21.33
157,21.33
176,21.2976
171,21.2976
169,21.2976
169,21.2616
168,21.2616
170,21.2292
179,21.1968
169,21.1968
166,21.1968
179,21.1608
177,21.1608
175,21.1608
169,21.1608
169,21.1608
170,21.096
168,21.096
177,21.06
171,21.06
170,21.06
179,21.0276
175,21.0276
172,21.0276
169,21.0276
171,20.9952
175,20.9592
168,20.9592
171,20.9268
169,20.9268
179,20.8584
172,20.8584
167,20.8584
167,20.8584
169,20.826
169,20.7936
164,20.7936
180,20.79
170,20.7576
165,20.7576
164,20.7576
160,20.7576
172,20.7252
169,20.7252
174,20.6928
167,20.6928
178,20.6568
171,20.6568
170,20.6568
170,20.6568
177,20.6244
172,20.6244
170,20.6244
163,20.6244
173,20.592
170,20.592
158,20.592
171,20.556
168,20.556
168,20.556
173,20.5236
166,20.5236
178,20.4912
176,20.4912
169,20.4912
166,20.4552
153,20.4552
176,20.3904
171,20.3904
171,20.3904
171,20.3544
170,20.3544
162,20.3544
174,20.2896
173,20.2896
175,20.2536
167,20.2536
167,20.2536
166,20.2536
175,20.2212
166,20.2212
169,20.1888
165,20.1888
172,20.1528
169,20.1528
167,20.1528
197,20.1204
173,20.1204
177,20.0196
167,20.0196
166,20.0196
176,19.9996
170,19.9872
170,19.9872
166,19.9872
171,19.9512
176,19.9312
179,19.9068
173,19.8864
170,19.8864
166,19.8864
166,19.8864
177,19.8788
176,19.8788
239,19.8664
164,19.8504
175,19.818
172,19.818
182,19.798
178,19.798
172,19.7856
171,19.7856
167,19.7856
173,19.7496
169,19.7496
167,19.7496
167,19.7496
174,19.7172
170,19.7172
171,19.6848
171,19.6848
170,19.6848
170,19.6848
169,19.6848
169,19.6488
169,19.6488
171,19.6164
170,19.6164
170,19.6164
177,19.6044
176,19.5844
174,19.548
174,19.548
178,19.544
175,19.5156
185,19.496
173,19.4832
170,19.4832
165,19.4832
164,19.4832
173,19.4472
172,19.4148
165,19.4148
172,19.3464
172,19.3464
167,19.3464
174,19.314
171,19.2816
170,19.2816
163,19.2816
168,19.2456
172,19.2132
164,19.2132
175,19.1808
173,19.1808
171,19.1808
170,19.1808
180,19.1688
173,19.1448
177,19.1328
177,19.1328
168,19.08
168,19.0476
176,19.032
181,19.024
176,19.0116
173,19.0116
169,18.9792
166,18.9792
172,18.9468
170,18.9468
172,18.9108
171,18.9108
169,18.9108
168,18.9108
166,18.9108
173,18.8784
172,18.8784
167,18.8784
174,18.846
168,18.846
164,18.846
180,18.8304
173,18.81
172,18.81
171,18.81
170,18.81
170,18.81
170,18.81
175,18.7776
173,18.7776
172,18.7776
168,18.7776
166,18.7776
164,18.7776
177,18.7132
174,18.7092
168,18.7092
173,18.6768
170,18.6768
167,18.6768
173,18.6444
169,18.6444
169,18.6444
176,18.6084
171,18.6084
168,18.576
167,18.576
163,18.576
172,18.5436
172,18.5436
173,18.5076
172,18.5076
174,18.4752
171,18.4752
170,18.4752
168,18.4752
166,18.4752
174,18.4068
172,18.4068
166,18.4068
174,18.3744
172,18.3744
172,18.3744
170,18.3744
169,18.3744
169,18.3744
166,18.3744
165,18.3744
173,18.342
171,18.342
171,18.2736
169,18.2736
167,18.2736
165,18.2412
176,18.2052
171,18.2052
169,18.2052
163,18.2052
177,18.1932
173,18.1728
177,18.1608
177,18.1404
173,18.1404
170,18.1404
168,18.1404
174,18.1044
173,18.1044
171,18.1044
174,18.072
173,18.072
200,18.068
173,18.0396
167,18.0396
166,18.0396
177,18.0036
176,18.0036
170,17.9712
175,17.9388
167,17.9388
166,17.9388
171,17.9028
170,17.9028
182,17.8384
174,17.838
170,17.838
168,17.838
177,17.802
169,17.802
167,17.802
171,17.7696
166,17.7696
155,17.7696
172,17.7372
172,17.7372
168,17.7372
166,17.7372
155,17.7372
175,17.6688
170,17.6688
170,17.6688
175,17.6364
216,17.6288
169,17.6004
166,17.6004
166,17.6004
164,17.6004
167,17.568
166,17.568
170,17.4996
167,17.4996
166,17.4996
162,17.4996
192,17.4956
173,17.4672
172,17.4672
169,17.4672
169,17.4672
167,17.4672
178,17.4348
175,17.4348
173,17.4348
169,17.4348
151,17.4348
171,17.3988
170,17.3988
167,17.3988
165,17.3664
165,17.3664
164,17.3664
159,17.3664
180,17.3504
172,17.334
170,17.334
167,17.334
161,17.334
172,17.298
169,17.298
167,17.298
170,17.2656
175,17.2332
167,17.2332
173,17.1972
166,17.1972
168,17.1648
172,17.1324
172,17.1324
166,17.1324
167,17.0964
160,17.0964
166,17.064
166,17.064
160,17.064
167,17.0316
164,17.0316
163,17.0316
183,17.0076
171,16.9956
175,16.9632
173,16.9632
166,16.9632
164,16.9632
160,16.9632
173,16.9308
172,16.9308
172,16.9308
171,16.9308
170,16.9308
166,16.9308
164,16.9308
164,16.9308
160,16.9308
159,16.8948
167,16.8624
164,16.8624
158,16.8624
172,16.83
165,16.83
161,16.83
170,16.794
169,16.794
169,16.794
169,16.794
167,16.794
165,16.794
172,16.7616
168,16.7616
170,16.7292
163,16.7292
169,16.6932
165,16.6932
162,16.6932
157,16.6932
180,16.6608
171,16.6608
170,16.6608
169,16.6608
167,16.6608
166,16.6608
165,16.6608
164,16.6608
171,16.6284
167,16.6284
168,16.5924
166,16.5924
166,16.5924
165,16.5924
163,16.5924
170,16.56
167,16.56
164,16.56
170,16.5276
165,16.5276
162,16.5276
168,16.4916
162,16.4916
170,16.4592
165,16.4592
164,16.4592
173,16.3908
170,16.3908
168,16.3908
162,16.3908
170,16.3584
167,16.3584
154,16.3584
171,16.326
170,16.326
165,16.326
161,16.326
180,16.29
172,16.29
168,16.29
163,16.29
173,16.2576
165,16.2576
164,16.2576
162,16.2576
178,16.2252
171,16.2252
166,16.2252
166,16.2252
164,16.2252
159,16.2252
175,16.1892
173,16.1892
166,16.1892
165,16.1892
173,16.1568
167,16.1568
165,16.1568
164,16.1568
161,16.1568
157,16.1568
155,16.1568
153,16.1568
171,16.1244
171,16.1244
169,16.1244
166,16.1244
162,16.1244
161,16.1244
172,16.0884
169,16.0884
168,16.0884
165,16.0884
162,16.0884
175,16.056
173,16.056
169,16.056
168,16.056
166,16.056
166,16.056
165,16.056
174,16.0236
172,16.0236
166,16.0236
165,16.0236
165,16.0236
164,16.0236
163,16.0236
162,16.0236
175,15.9876
170,15.9876
170,15.9876
168,15.9876
168,15.9876
167,15.9876
167,15.9876
165,15.9876
153,15.9876
184,15.9552
183,15.9552
176,15.9552
169,15.9552
167,15.9552
165,15.9552
164,15.9552
160,15.9552
172,15.9228
171,15.9228
166,15.9228
164,15.9228
164,15.9228
163,15.9228
176,15.8868
172,15.8868
165,15.8868
163,15.8868
157,15.8868
174,15.8544
171,15.8544
170,15.8544
169,15.8544
166,15.8544
160,15.8544
152,15.8544
167,15.822
166,15.822
164,15.822
163,15.822
160,15.822
160,15.822
152,15.822
184,15.786
172,15.786
171,15.786
170,15.786
168,15.786
167,15.786
166,15.786
165,15.786
161,15.786
153,15.786
174,15.7536
166,15.7536
158,15.7536
154,15.7536
170,15.7212
168,15.7212
162,15.7212
179,15.6852
171,15.6852
167,15.6852
165,15.6852
157,15.6852
170,15.6528
170,15.6528
170,15.6528
166,15.6528
166,15.6528
162,15.6528
169,15.6204
169,15.6204
160,15.6204
160,15.6204
159,15.6204
155,15.6204
152,15.6204
175,15.5844
167,15.5844
165,15.5844
161,15.5844
158,15.5844
166,15.552
163,15.552
163,15.552
161,15.552
160,15.552
175,15.5196
172,15.5196
166,15.5196
164,15.5196
164,15.5196
163,15.5196
162,15.5196
160,15.5196
159,15.5196
154,15.4836
172,15.4512
169,15.4512
168,15.4512
166,15.4512
162,15.4512
172,15.4188
165,15.4188
165,15.4188
163,15.4188
162,15.4188
157,15.4188
154,15.4188
175,15.3828
168,15.3828
167,15.3828
166,15.3828
165,15.3828
171,15.3504
168,15.3504
165,15.3504
165,15.3504
164,15.3504
161,15.3504
160,15.3504
159,15.3504
159,15.3504
155,15.3504
153,15.3504
169,15.318
168,15.318
166,15.318
166,15.318
166,15.318
165,15.318
165,15.318
164,15.318
164,15.318
164,15.318
163,15.318
162,15.318
161,15.318
160,15.318
157,15.318
157,15.318
172,15.282
169,15.282
163,15.282
162,15.282
161,15.282
160,15.282
159,15.282
155,15.282
171,15.2496
170,15.2496
166,15.2496
165,15.2496
163,15.2496
163,15.2496
161,15.2496
158,15.2496
155,15.2496
153,15.2496
153,15.2496
169,15.2172
169,15.2172
166,15.2172
165,15.2172
165,15.2172
164,15.2172
161,15.2172
161,15.2172
157,15.2172
151,15.2172
167,15.1812
155,15.1812
154,15.1812
169,15.1488
168,15.1488
165,15.1488
164,15.1488
163,15.1488
163,15.1488
163,15.1488
163,15.1488
161,15.1488
161,15.1488
160,15.1488
153,15.1488
152,15.1488
170,15.1164
164,15.1164
164,15.1164
162,15.1164
158,15.1164
158,15.1164
158,15.1164
157,15.1164
157,15.1164
156,15.1164
155,15.1164
170,15.0804
168,15.0804
161,15.0804
161,15.0804
160,15.0804
160,15.0804
159,15.0804
159,15.0804
159,15.0804
153,15.0804
174,15.048
169,15.048
165,15.048
163,15.048
161,15.048
157,15.048
157,15.048
156,15.048
156,15.048
175,15.0156
170,15.0156
166,15.0156
166,15.0156
165,15.0156
164,15.0156
163,15.0156
152,15.0156
157,14.8464
156,14.8464
155,14.8464
154,14.8464
152,14.8464
152,14.8464
151,14.8464
159,14.814
156,14.814
151,14.814
158,14.7816
154,14.7816
151,14.7816
160,14.7456
158,14.7456
157,14.7456
156,14.7456
156,14.7456
153,14.7456
151,14.7456
160,14.7132
160,14.7132
155,14.7132
152,14.7132
160,14.6808
160,14.6808
159,14.6808
158,14.6808
157,14.6808
157,14.6808
156,14.6808
154,14.6808
153,14.6808
153,14.6808
159,14.6448
159,14.6448
158,14.6448
157,14.6448
156,14.6448
154,14.6448
154,14.6448
154,14.6448
154,14.6448
152,14.6448
160,14.6124
160,14.6124
159,14.6124
158,14.6124
157,14.6124
156,14.6124
154,14.6124
153,14.6124
152,14.6124
151,14.6124
160,14.58
159,14.58
157,14.58
156,14.58
155,14.58
154,14.58
151,14.544
151,14.544
151,14.544
160,14.5116
159,14.5116
159,14.5116
158,14.5116
155,14.5116
154,14.5116
153,14.5116
159,14.4792
159,14.4792
158,14.4792
158,14.4792
157,14.4792
156,14.4792
155,14.4792
153,14.4792
159,14.4432
159,14.4432
158,14.4432
157,14.4432
157,14.4432
156,14.4432
154,14.4432
154,14.4432
154,14.4432
154,14.4432
152,14.4432
152,14.4432
152,14.4432
159,14.4108
158,14.4108
157,14.4108
157,14.4108
156,14.4108
154,14.4108
154,14.4108
159,14.3784
158,14.3784
158,14.3784
158,14.3784
155,14.3784
154,14.3784
151,14.3784
151,14.3784
160,14.3424
158,14.3424
156,14.3424
155,14.3424
154,14.3424
153,14.3424
153,14.3424
153,14.3424
151,14.3424
160,14.31
159,14.31
158,14.31
155,14.31
155,14.31
155,14.31
154,14.31
153,14.31
153,14.31
151,14.31
160,14.2776
159,14.2776
155,14.2776
155,14.2776
153,14.2776
152,14.2776
152,14.2776
160,14.2416
159,14.2416
159,14.2416
158,14.2416
155,14.2416
153,14.2416
152,14.2416
151,14.2416
159,14.2092
159,14.2092
158,14.2092
158,14.2092
155,14.2092
154,14.2092
154,14.2092
154,14.2092
153,14.2092
152,14.2092
151,14.2092
151,14.1768
160,14.1408
160,14.1408
160,14.1408
160,14.1408
158,14.1408
157,14.1408
157,14.1408
156,14.1408
156,14.1408
154,14.1408
153,14.1408
151,14.1408
160,14.1084
160,14.1084
160,14.1084
160,14.1084
159,14.1084
155,14.076
155,14.076
154,14.076
152,14.076
160,14.04
160,14.04
159,14.04
158,14.04
157,14.04
156,14.04
156,14.04
156,14.04
155,14.04
154,14.04
154,14.04
152,14.04
160,14.0076
159,14.0076
159,14.0076
158,14.0076
158,14.0076
157,14.0076
157,14.0076
157,14.0076
156,14.0076
156,14.0076
154,14.0076
154,14.0076
154,14.0076
154,14.0076
153,14.0076
152,14.0076
152,14.0076
151,14.0076
160,13.9752
159,13.9752
158,13.9752
158,13.9752
157,13.9752
157,13.9752
156,13.9752
156,13.9752
153,13.9752
153,13.9752
160,13.9392
158,13.9392
158,13.9068
157,13.9068
156,13.9068
155,13.9068
155,13.9068
153,13.9068
152,13.9068
159,13.8744
158,13.8744
158,13.8744
157,13.8744
157,13.8744
155,13.8744
155,13.8744
154,13.8744
153,13.8744
152,13.8744
151,13.8744
151,13.8744
160,13.8384
160,13.8384
160,13.8384
160,13.8384
159,13.8384
158,13.8384
157,13.8384
156,13.8384
156,13.8384
155,13.8384
155,13.8384
155,13.8384
154,13.8384
153,13.8384
151,13.8384
159,13.806
159,13.806
159,13.806
158,13.806
156,13.806
159,13.7376
158,13.7376
158,13.7376
157,13.7376
155,13.7376
154,13.7376
152,13.7376
151,13.7376
151,13.7376
159,13.7052
156,13.7052
153,13.7052
153,13.7052
152,13.7052
152,13.7052
152,13.7052
151,13.7052
159,13.6728
159,13.6728
159,13.6728
158,13.6728
158,13.6728
158,13.6728
158,13.6728
157,13.6728
157,13.6728
156,13.6728
156,13.6728
156,13.6728
154,13.6728
153,13.6728
151,13.6728
151,13.6728
151,13.6728
160,13.6368
158,13.6368
158,13.6368
157,13.6368
156,13.6368
156,13.6368
155,13.6368
155,13.6368
83,5.8464
70,5.9112
79,6.048
76,6.0804
96,6.3828
73,6.4476
98,7.02
79,7.3548
95,7.3908
79,7.3908
96,7.5924
97,9.4068
92,9.7416
121,10.1124
119,10.1124
103,10.1124
80,10.1124
144,10.1448
144,10.1448
130,10.1448
123,10.1448
119,10.1448
129,10.1772
127,10.1772
126,10.1772
125,10.1772
123,10.1772
118,10.1772
117,10.1772
107,10.1772
136,10.2132
136,10.2132
119,10.2132
118,10.2132
146,10.2456
143,10.2456
139,10.2456
127,10.2456
121,10.2456
120,10.2456
133,10.278
76,10.3464
136,10.3788
134,10.3788
131,10.3788
122,10.3788
145,10.4148
140,10.4148
133,10.4148
132,10.4148
132,10.4148
130,10.4148
125,10.4148
122,10.4148
138,10.4472
137,10.4472
131,10.4472
127,10.4472
123,10.4472
115,10.4472
145,10.4796
144,10.4796
142,10.4796
142,10.4796
134,10.4796
132,10.4796
132,10.4796
132,10.4796
128,10.4796
126,10.4796
125,10.4796
123,10.4796
146,10.5156
144,10.5156
141,10.5156
141,10.5156
138,10.5156
121,10.5156
120,10.5156
92,10.5156
143,10.548
139,10.548
128,10.548
125,10.548
112,10.548
108,10.548
146,10.5804
143,10.5804
140,10.5804
139,10.5804
136,10.5804
131,10.5804
130,10.5804
129,10.5804
129,10.5804
128,10.5804
125,10.5804
122,10.5804
113,10.5804
141,10.6128
140,10.6128
137,10.6128
136,10.6128
136,10.6128
135,10.6128
135,10.6128
134,10.6128
134,10.6128
130,10.6128
128,10.6128
125,10.6128
119,10.6128
144,10.6488
141,10.6488
141,10.6488
139,10.6488
129,10.6488
124,10.6488
144,10.6812
144,10.6812
136,10.6812
130,10.6812
129,10.6812
127,10.6812
126,10.6812
126,10.6812
126,10.6812
126,10.6812
121,10.6812
114,10.6812
137,10.7136
136,10.7136
134,10.7136
131,10.7136
123,10.7136
120,10.7136
119,10.7136
146,10.7496
143,10.7496
142,10.7496
141,10.7496
141,10.7496
136,10.7496
136,10.7496
136,10.7496
132,10.7496
131,10.7496
130,10.7496
130,10.7496
129,10.7496
128,10.7496
126,10.7496
121,10.7496
145,10.782
143,10.782
142,10.782
138,10.782
137,10.782
136,10.782
134,10.782
133,10.782
131,10.782
130,10.782
129,10.782
122,10.782
121,10.782
145,10.8144
143,10.8144
136,10.8144
136,10.8144
130,10.8144
129,10.8144
128,10.8144
128,10.8144
146,10.8504
144,10.8504
141,10.8504
140,10.8504
136,10.8504
135,10.8504
131,10.8504
131,10.8504
130,10.8504
125,10.8504
123,10.8504
121,10.8504
145,10.8828
142,10.8828
139,10.8828
138,10.8828
138,10.8828
136,10.8828
136,10.8828
134,10.8828
132,10.8828
130,10.8828
129,10.8828
125,10.8828
125,10.8828
121,10.8828
145,10.9152
142,10.9152
